iter	Logloss
0	0.6814313196
1	0.6696904079
2	0.6595676731
3	0.6498660253
4	0.6416487384
5	0.6338373744
6	0.6265865546
7	0.620762633
8	0.6151024966
9	0.6096196978
10	0.6046148024
11	0.5997042808
12	0.5957866647
13	0.5917003019
14	0.5884329014
15	0.5823848694
16	0.5802438714
17	0.5748879019
18	0.5701989153
19	0.567737092
20	0.5625054931
21	0.5592056102
22	0.5551046915
23	0.552666854
24	0.5504220467
25	0.547825502
26	0.5433827079
27	0.5416207379
28	0.5375228821
29	0.5349898891
30	0.5326587311
31	0.5312936072
32	0.5292397368
33	0.5279406502
34	0.524306617
35	0.5216928716
36	0.5203025522
37	0.5173509105
38	0.5152029484
39	0.5138996443
40	0.5123279771
41	0.5096352269
42	0.5084949008
43	0.5068513654
44	0.5057449601
45	0.503278841
46	0.5004847867
47	0.49946829
48	0.49799169
49	0.4955684767
50	0.4939476312
51	0.4915697708
52	0.4907674781
53	0.4876028131
54	0.4869159938
55	0.4858495159
56	0.4838782746
57	0.4831813298
58	0.4816522013
59	0.4791424061
60	0.4776323289
61	0.4768182749
62	0.4751935842
63	0.4744584105
64	0.4736668944
65	0.4721170681
66	0.4704695425
67	0.469718991
68	0.4685440946
69	0.4671993245
70	0.4665189542
71	0.4657576438
72	0.4652090445
73	0.4643743049
74	0.4636635014
75	0.4631046673
76	0.4623231819
77	0.4616450847
78	0.4610302912
79	0.4605681963
80	0.4598199192
81	0.4584151667
82	0.4578460316
83	0.4573255393
84	0.4567680206
85	0.4561919587
86	0.4556385025
87	0.4551634391
88	0.4544338165
89	0.4538180608
90	0.4530840963
91	0.4520825044
92	0.4517004612
93	0.4509321817
94	0.4500380625
95	0.4493355016
96	0.4490276043
97	0.4486298849
98	0.4480502275
99	0.4475589583
100	0.4471238884
101	0.4465610156
102	0.4456552818
103	0.4451962819
104	0.4446788834
105	0.4434146727
106	0.4429442592
107	0.4426255464
108	0.4421125068
109	0.4413559727
110	0.4406651578
111	0.4402433458
112	0.4398762104
113	0.4395016622
114	0.4390648926
115	0.4386841378
116	0.4381835969
117	0.4378507963
118	0.4373234999
119	0.4368650068
120	0.4364444111
121	0.4349404662
122	0.4341023714
123	0.4330242697
124	0.4325763866
125	0.4310788215
126	0.4300758709
127	0.4294294052
128	0.4289178948
129	0.4286783115
130	0.4283258709
131	0.427210645
132	0.4254829826
133	0.4250648676
134	0.4243890088
135	0.4241489092
136	0.4237116873
137	0.4232825748
138	0.4229648528
139	0.422622201
140	0.4221232423
141	0.421792007
142	0.4210889702
143	0.4205195265
144	0.4192325219
145	0.418068432
146	0.4170257651
147	0.4167400697
148	0.4163101316
149	0.4156217606
150	0.4143688788
151	0.4133927757
152	0.41271525
153	0.4123087853
154	0.4118640117
155	0.4111339406
156	0.4100599691
157	0.4095872321
158	0.4089437711
159	0.4086542138
160	0.4082493594
161	0.4078272825
162	0.4070386045
163	0.4058353644
164	0.4054030422
165	0.4049766673
166	0.404074279
167	0.4037422682
168	0.4035167777
169	0.4031643847
170	0.4025983529
171	0.4022594178
172	0.401992853
173	0.4017718742
174	0.4013777757
175	0.401038839
176	0.4007726012
177	0.4005485217
178	0.3999926609
179	0.3996869698
180	0.3992159851
181	0.3987818703
182	0.3980389117
183	0.3973949626
184	0.3971132992
185	0.3967690061
186	0.3965260562
187	0.3963156386
188	0.3959744504
189	0.3956174035
190	0.3948899382
191	0.3941453788
192	0.3939519987
193	0.3936944879
194	0.3933553842
195	0.3931182453
196	0.3926765813
197	0.3916364278
198	0.3906581868
199	0.3904383463
200	0.390085447
201	0.3897419942
202	0.3887733522
203	0.3876494296
204	0.38742461
205	0.3870212115
206	0.3859637087
207	0.3851829158
208	0.3848215216
209	0.3846636442
210	0.3844417314
211	0.383657081
212	0.3830582072
213	0.382549665
214	0.3822240024
215	0.3812611545
216	0.3808717922
217	0.3799596539
218	0.3797450791
219	0.3792671245
220	0.3784243658
221	0.3773810472
222	0.3769050983
223	0.3766195763
224	0.3757882053
225	0.3751045812
226	0.374766809
227	0.3743445544
228	0.3737699348
229	0.3734256672
230	0.3728743895
231	0.3726095268
232	0.372243598
233	0.3718683857
234	0.3710563061
235	0.3708229931
236	0.3704947702
237	0.3700561016
238	0.3697614625
239	0.3693267891
240	0.3690310064
241	0.3687367473
242	0.3680702411
243	0.3675615248
244	0.3669319388
245	0.3662720262
246	0.3658645967
247	0.365428889
248	0.3650910449
249	0.364170717
250	0.3637146828
251	0.3627645606
252	0.3623623598
253	0.3618834986
254	0.3611556538
255	0.3605824934
256	0.360341158
257	0.3596991985
258	0.3590860333
259	0.3584038187
260	0.3580533738
261	0.3576280042
262	0.3572098092
263	0.3566167083
264	0.3564360634
265	0.3559836749
266	0.3557212467
267	0.3551181776
268	0.3547487885
269	0.3544852835
270	0.3539259253
271	0.3536977205
272	0.3533525604
273	0.3529243661
274	0.3521613589
275	0.3515501273
276	0.3510672784
277	0.3504174279
278	0.3497141257
279	0.3494462506
280	0.3491283535
281	0.3487542233
282	0.3484913767
283	0.3481650654
284	0.347771876
285	0.3473642087
286	0.3470833638
287	0.3464349379
288	0.3458812106
289	0.3456610505
290	0.3452104611
291	0.3448075501
292	0.3443708089
293	0.3438305864
294	0.3435052987
295	0.3430917574
296	0.3427541932
297	0.3423770447
298	0.3421081679
299	0.3417616414
300	0.3411024939
301	0.3408039628
302	0.3403385205
303	0.339900437
304	0.3395543924
305	0.3391236192
306	0.3387233524
307	0.3384278489
308	0.3381568813
309	0.3377133959
310	0.3373469743
311	0.3368296021
312	0.3365447834
313	0.3362233931
314	0.3359701013
315	0.3357403725
316	0.3354229136
317	0.3350185462
318	0.334416404
319	0.3340996084
320	0.3332562366
321	0.3328453646
322	0.3326665895
323	0.3324270289
324	0.3319498712
325	0.3316001608
326	0.3312256149
327	0.3308726619
328	0.3306814515
329	0.3303432918
330	0.330025337
331	0.3297317218
332	0.3291397373
333	0.3287167648
334	0.3284487469
335	0.3282119266
336	0.3278347089
337	0.3275181555
338	0.3270767637
339	0.3269755361
340	0.326713295
341	0.3263059227
342	0.3258763803
343	0.3254196106
344	0.3250135929
345	0.3246748737
346	0.324262146
347	0.3239815718
348	0.3235916777
349	0.3232349138
350	0.3228996329
351	0.3225797034
352	0.3224171836
353	0.3221126028
354	0.3218763649
355	0.3215709897
356	0.3212485962
357	0.320736243
358	0.3203182113
359	0.320084797
360	0.3197588708
361	0.3193970315
362	0.3190915293
363	0.3187819453
364	0.3183561052
365	0.3180737089
366	0.3177351626
367	0.317274441
368	0.3171221201
369	0.3169236838
370	0.3165799905
371	0.3161065877
372	0.3158485992
373	0.3155704392
374	0.3153400553
375	0.3150886639
376	0.3147160288
377	0.3143472449
378	0.3140249538
379	0.3137147496
380	0.3134054192
381	0.3131093443
382	0.3129261205
383	0.3126542386
384	0.3123858553
385	0.3120989716
386	0.3118016262
387	0.3113042826
388	0.3109881751
389	0.3107194358
390	0.3104325379
391	0.3102831684
392	0.3099984841
393	0.3098793137
394	0.3097037911
395	0.3094091357
396	0.3090206179
397	0.3087233627
398	0.3083287034
399	0.3080706585
400	0.307767021
401	0.3075581731
402	0.3073511365
403	0.3070623465
404	0.3068684629
405	0.3065434159
406	0.3062675943
407	0.3058388653
408	0.3055444468
409	0.3052157214
410	0.3048750012
411	0.3046593618
412	0.3044596843
413	0.3041855705
414	0.3036976961
415	0.3033765341
416	0.3029534215
417	0.3027126189
418	0.3025484981
419	0.3023199233
420	0.3021940355
421	0.301922552
422	0.3016558422
423	0.3015582066
424	0.3012924515
425	0.3009990553
426	0.300731625
427	0.3004980285
428	0.3002085054
429	0.2997256597
430	0.2994638686
431	0.2990138688
432	0.2987173228
433	0.2984806507
434	0.2981714633
435	0.2978685038
436	0.2976432908
437	0.2973877073
438	0.2972200297
439	0.2969350351
440	0.2967661271
441	0.2964899169
442	0.2962898128
443	0.2958310419
444	0.2954368152
445	0.2952199814
446	0.2947350381
447	0.294569718
448	0.2942905478
449	0.2940258365
450	0.2937721521
451	0.293584884
452	0.2933384387
453	0.2930465385
454	0.2928087015
455	0.2927047495
456	0.2924530449
457	0.2922570965
458	0.2920052697
459	0.2918168042
460	0.2916989835
461	0.2914003588
462	0.2911872328
463	0.2908623155
464	0.2905532272
465	0.2903159739
466	0.2901432233
467	0.2898823252
468	0.2896628856
469	0.2895253957
470	0.2891726293
471	0.2889001849
472	0.2886150461
473	0.2885196485
474	0.2882677565
475	0.2880513413
476	0.2878334292
477	0.2875397937
478	0.2873014525
479	0.2870422492
480	0.286771591
481	0.286556947
482	0.2862204732
483	0.285933966
484	0.2855390827
485	0.2852822568
486	0.2850917801
487	0.2848124167
488	0.2845479041
489	0.2844119105
490	0.2842788545
491	0.284194059
492	0.2839628156
493	0.2837564509
494	0.2835601459
495	0.2833747579
496	0.2831151466
497	0.2829445182
498	0.2825954214
499	0.2824085365
500	0.2821736639
501	0.2818826465
502	0.2814813499
503	0.2811820715
504	0.2810086715
505	0.2807563191
506	0.2804581937
507	0.2802068857
508	0.2799562022
509	0.2796607902
510	0.2794787012
511	0.279250272
512	0.2789634087
513	0.2787716745
514	0.2785676707
515	0.2783063715
516	0.2780762467
517	0.2779468779
518	0.2777528982
519	0.2775376887
520	0.277294652
521	0.2770687529
522	0.2769249303
523	0.2766948508
524	0.2764449694
525	0.2763503242
526	0.2760650234
527	0.2757532107
528	0.2755288442
529	0.2753258468
530	0.2750496473
531	0.2748715975
532	0.2746260513
533	0.2744563334
534	0.274167626
535	0.2739142271
536	0.2737585881
537	0.2735351005
538	0.2733815591
539	0.2731436965
540	0.2730128903
541	0.2727598957
542	0.2725876644
543	0.2722714642
544	0.2719944782
545	0.2717514308
546	0.2715706256
547	0.2713040094
548	0.2711261387
549	0.2709502646
550	0.2707202042
551	0.2706531749
552	0.2704256282
553	0.2701964196
554	0.269993555
555	0.269712386
556	0.2694405393
557	0.2692167525
558	0.269021018
559	0.2688937897
560	0.2687781349
561	0.2684488714
562	0.2681860858
563	0.2679459855
564	0.2677482925
565	0.267692993
566	0.267462961
567	0.2671863264
568	0.2670599705
569	0.2669394172
570	0.2667108976
571	0.2664015443
572	0.2662482219
573	0.2661138145
574	0.2659203755
575	0.2656927424
576	0.2654023421
577	0.2652596461
578	0.2650727149
579	0.2649206341
580	0.2646868881
581	0.264435434
582	0.2642778534
583	0.2640917485
584	0.2638356582
585	0.2636006957
586	0.2633899579
587	0.263163381
588	0.2629048009
589	0.2626094677
590	0.2623804001
591	0.2621947809
592	0.2619628528
593	0.2618306613
594	0.2617068492
595	0.2615727669
596	0.2613530512
597	0.2611526879
598	0.260914621
599	0.2607542171
600	0.2605668592
601	0.2604736637
602	0.2601785119
603	0.2599956106
604	0.2598159829
605	0.2596325446
606	0.2594934381
607	0.2591892085
608	0.2589452998
609	0.2587183127
610	0.2585202989
611	0.2582148455
612	0.2580848108
613	0.2579047969
614	0.2576608418
615	0.2574901191
616	0.2572645234
617	0.2572050353
618	0.2570272056
619	0.2568017769
620	0.2566034735
621	0.2564294304
622	0.25622414
623	0.256008862
624	0.2558253641
625	0.2556113002
626	0.2554409438
627	0.2552684196
628	0.2550784595
629	0.2549554683
630	0.2547656896
631	0.2545360349
632	0.2543008607
633	0.2540732991
634	0.2539982025
635	0.2537480003
636	0.2535393972
637	0.2533685574
638	0.2531729388
639	0.2530729234
640	0.2528960546
641	0.2526691163
642	0.2525780067
643	0.2523668637
644	0.2522364975
645	0.2520790974
646	0.2518947855
647	0.2517644588
648	0.2515537993
649	0.2513691571
650	0.2511536566
651	0.2510388214
652	0.2507796539
653	0.2506181917
654	0.2504504356
655	0.250253834
656	0.2500100625
657	0.2498527897
658	0.2496455114
659	0.2493836162
660	0.2493241954
661	0.2491679365
662	0.248844853
663	0.2486944813
664	0.2484226063
665	0.2482143095
666	0.2480214248
667	0.24780041
668	0.2475936825
669	0.247343035
670	0.2471028458
671	0.2469325171
672	0.2468702379
673	0.2466715057
674	0.2464207615
675	0.2461193556
676	0.2458993488
677	0.2457657229
678	0.2455650148
679	0.2454006643
680	0.2452338317
681	0.24507626
682	0.2449335276
683	0.2446888441
684	0.2443912203
685	0.2441929116
686	0.2439854435
687	0.2439140213
688	0.2438646985
689	0.2437271551
690	0.2435843112
691	0.2435028048
692	0.2432947779
693	0.2431252704
694	0.2427968993
695	0.2426092389
696	0.2424973693
697	0.2422980144
698	0.2422371616
699	0.2420504674
700	0.2418579723
701	0.2416316343
702	0.2414061795
703	0.2412004975
704	0.2409536447
705	0.2407830657
706	0.2405909498
707	0.2403672469
708	0.2402830759
709	0.240105968
710	0.2399861081
711	0.2397772047
712	0.2396217163
713	0.2394348516
714	0.2393603606
715	0.2391514686
716	0.2389560647
717	0.2388186222
718	0.2386106089
719	0.2383825601
720	0.2382081852
721	0.2380747532
722	0.2378408903
723	0.2376378835
724	0.2374667987
725	0.2372953558
726	0.2370918803
727	0.2369230276
728	0.2367043266
729	0.2364880662
730	0.2362535347
731	0.2360788474
732	0.2359222771
733	0.2357732755
734	0.2354946461
735	0.2354375656
736	0.2352672865
737	0.2350798759
738	0.2349107893
739	0.2347473847
740	0.2346117416
741	0.2344735158
742	0.2342854026
743	0.2339315278
744	0.2337510899
745	0.2335997573
746	0.2334906235
747	0.2333177168
748	0.2331353452
749	0.2329352174
750	0.2327345641
751	0.2325403705
752	0.2323433636
753	0.2322516045
754	0.2320231369
755	0.2318957505
756	0.23181821
757	0.2316272734
758	0.2315067076
759	0.2313870371
760	0.2312371428
761	0.2310701717
762	0.2310218194
763	0.2308794167
764	0.2307305381
765	0.2306090973
766	0.2305070253
767	0.230264139
768	0.2301283454
769	0.2299671935
770	0.2297874185
771	0.229605044
772	0.229395082
773	0.2291981569
774	0.2290328742
775	0.2288570138
776	0.2286737858
777	0.228487362
778	0.2282738717
779	0.2280719379
780	0.2279322913
781	0.2276578857
782	0.2274920246
783	0.2273340498
784	0.2271830662
785	0.2269851007
786	0.2268499707
787	0.2267137431
788	0.2264924667
789	0.2263067109
790	0.2261478799
791	0.2259727043
792	0.2257742983
793	0.2256616237
794	0.2254821905
795	0.2253690697
796	0.2252776732
797	0.225152395
798	0.224968751
799	0.2248435313
800	0.2246510561
801	0.2244856441
802	0.2242864653
803	0.2241134432
804	0.2239929122
805	0.2239099974
806	0.223729602
807	0.2236044602
808	0.2232920916
809	0.2231097734
810	0.2230532
811	0.2228798587
812	0.2227041988
813	0.2225521307
814	0.2223875263
815	0.2221853647
816	0.2220647416
817	0.2219368858
818	0.2218057756
819	0.2217015926
820	0.2215178964
821	0.221444266
822	0.2212930828
823	0.2211229661
824	0.2209402596
825	0.2208683793
826	0.2207483749
827	0.2206040739
828	0.2204570228
829	0.2202720926
830	0.2201868088
831	0.2200933467
832	0.2199518017
833	0.2197733458
834	0.2195835037
835	0.2194023305
836	0.2192041847
837	0.2190266558
838	0.2188579876
839	0.2187356312
840	0.2185650095
841	0.2184370423
842	0.2182456549
843	0.2179979649
844	0.2178664944
845	0.2177108228
846	0.2175425854
847	0.2174586957
848	0.2172813639
849	0.217160235
850	0.2170751614
851	0.2170074728
852	0.2168626888
853	0.2166931073
854	0.2165400057
855	0.2163574735
856	0.2162366658
857	0.2160927444
858	0.2159548769
859	0.2157521746
860	0.2155689095
861	0.2155207939
862	0.21534908
863	0.2151969171
864	0.2150058735
865	0.2148014103
866	0.2146823055
867	0.2145148004
868	0.2143503712
869	0.2142172615
870	0.2141193571
871	0.2140621958
872	0.2138892848
873	0.2138112413
874	0.2137226945
875	0.2134468866
876	0.2133294185
877	0.2131521489
878	0.2130107524
879	0.2129272579
880	0.2127458711
881	0.2126406433
882	0.2124503885
883	0.2122835228
884	0.2121088949
885	0.2120247829
886	0.2118458109
887	0.2117103373
888	0.2116087881
889	0.2114611983
890	0.2113534723
891	0.2111227428
892	0.2110572804
893	0.2109235507
894	0.2107546134
895	0.2105718819
896	0.2105300182
897	0.2104214137
898	0.2102719234
899	0.2100954649
900	0.2099792857
901	0.209840113
902	0.2098010661
903	0.2096960168
904	0.2095791981
905	0.2093932905
906	0.2092385764
907	0.2090983722
908	0.2089944041
909	0.2088527848
910	0.2087327529
911	0.2086268624
912	0.2085837294
913	0.2085154615
914	0.2083487187
915	0.2082519082
916	0.2081725997
917	0.2079849746
918	0.2078186391
919	0.2076974519
920	0.2075781463
921	0.2074260791
922	0.2072893156
923	0.2072294509
924	0.2070995308
925	0.2069842343
926	0.2068657028
927	0.2066951893
928	0.2065380653
929	0.2064866255
930	0.2063292081
931	0.2062405719
932	0.2060537979
933	0.20592323
934	0.205795045
935	0.2057225255
936	0.2055773464
937	0.2053988592
938	0.2053028478
939	0.2051149686
940	0.2050525797
941	0.2049024375
942	0.2047189422
943	0.2045570951
944	0.2044410193
945	0.2042582796
946	0.2040971347
947	0.2040444593
948	0.2038795348
949	0.203731587
950	0.2036868472
951	0.2035635782
952	0.2033982882
953	0.2033112231
954	0.2031667554
955	0.2030042882
956	0.2028664436
957	0.2027816238
958	0.2026599165
959	0.2025340051
960	0.2024271456
961	0.2022612152
962	0.2021419615
963	0.2019779995
964	0.2018595343
965	0.2017982874
966	0.2016975973
967	0.2015347228
968	0.2013759754
969	0.2011338638
970	0.2010238028
971	0.2009089794
972	0.200810744
973	0.200669936
974	0.2005059954
975	0.2003306392
976	0.2002156789
977	0.2001740208
978	0.2000929421
979	0.1998885499
980	0.1997286605
981	0.1996103183
982	0.1994960857
983	0.1994434078
984	0.1992672406
985	0.1991066626
986	0.1989513755
987	0.1988039461
988	0.1987513108
989	0.1985912734
990	0.1984820346
991	0.1983077544
992	0.1981119843
993	0.197948909
994	0.1977765636
995	0.1976077701
996	0.1974784478
997	0.1973561496
998	0.197322535
999	0.1971872675
