iter	Passed	Remaining
0	668	667622
1	1113	555785
2	1515	503611
3	1918	477652
4	2280	453741
5	2620	434161
6	2986	423616
7	3381	419279
8	3766	414687
9	4145	410383
10	4542	408397
11	4928	405776
12	5293	401866
13	5852	412218
14	6337	416130
15	6736	414290
16	7184	415420
17	7824	426875
18	8246	425795
19	8617	422238
20	8977	418505
21	9385	417234
22	9735	413533
23	10142	412464
24	10548	411382
25	10919	409042
26	11369	409723
27	11887	412662
28	12335	413010
29	12728	411541
30	13135	410576
31	13546	409794
32	13958	409034
33	14328	407088
34	14686	404931
35	15073	403621
36	15432	401670
37	15825	400623
38	16236	400071
39	16654	399713
40	17074	399375
41	17491	398963
42	17934	399150
43	18370	399133
44	18763	398211
45	19241	399046
46	19753	400536
47	20198	400611
48	20626	400319
49	21042	399802
50	21532	400671
51	22022	401484
52	22515	402311
53	22934	401773
54	23330	400853
55	23737	400141
56	24181	400053
57	24589	399365
58	25065	399778
59	25667	402118
60	26258	404212
61	26726	404339
62	27232	405032
63	27760	405996
64	28261	406531
65	28782	407311
66	29652	412915
67	30234	414392
68	30727	414593
69	31166	414073
70	31559	412939
71	32051	413107
72	32503	412746
73	33034	413371
74	33368	411542
75	33723	410001
76	34083	408563
77	34454	407272
78	34830	406058
79	35197	404774
80	35582	403703
81	35974	402738
82	36414	402309
83	36802	401319
84	37196	400405
85	37608	399699
86	38047	399283
87	38452	398504
88	38859	397762
89	39302	397393
90	39755	397123
91	40193	396689
92	40643	396384
93	41069	395839
94	41511	395448
95	42000	395507
96	42430	394998
97	42819	394114
98	43243	393560
99	43595	392361
100	43966	391341
101	44371	390647
102	44774	389931
103	45118	388714
104	45504	387875
105	45897	387097
106	46408	387314
107	46781	386378
108	47197	385807
109	47555	384765
110	47929	383866
111	48318	383096
112	48643	381833
113	49006	380877
114	49412	380264
115	49823	379691
116	50254	379274
117	50621	378372
118	51006	377621
119	51493	377621
120	51973	377560
121	52384	377000
122	52759	376178
123	53134	375368
124	53539	374776
125	53906	373924
126	54284	373153
127	54671	372452
128	55075	371869
129	55426	370930
130	55831	370362
131	56243	369845
132	56667	369404
133	57038	368621
134	57413	367873
135	57740	366823
136	58142	366256
137	58513	365496
138	58904	364871
139	59251	363973
140	59633	363300
141	59959	362292
142	60358	361729
143	60767	361226
144	61194	360834
145	61688	360837
146	62130	360526
147	62475	359655
148	62875	359108
149	63263	358491
150	63668	357979
151	64091	357563
152	64492	357026
153	64925	356666
154	65333	356174
155	65697	355442
156	66077	354797
157	66472	354241
158	66861	353651
159	67225	352931
160	67557	352055
161	67910	351290
162	68399	351227
163	69007	351770
164	69352	350965
165	69750	350432
166	70137	349849
167	70533	349307
168	70925	348749
169	71361	348409
170	71823	348194
171	72219	347661
172	72613	347115
173	72952	346316
174	73319	345646
175	73694	345023
176	74064	344379
177	74438	343755
178	74852	343318
179	75249	342802
180	75615	342149
181	75959	341401
182	76321	340735
183	76673	340029
184	77007	339249
185	77349	338509
186	77699	337804
187	78046	337094
188	78394	336390
189	78781	335860
190	79179	335373
191	79534	334709
192	79863	333937
193	80220	333286
194	80610	332777
195	80996	332251
196	81403	331813
197	81864	331592
198	82399	331666
199	82759	331039
200	83159	330569
201	83536	330010
202	83893	329375
203	84312	328982
204	84760	328704
205	85157	328229
206	85521	327624
207	85932	327202
208	86264	326482
209	86568	325661
210	86926	325047
211	87270	324382
212	87595	323650
213	87956	323054
214	88314	322449
215	88686	321900
216	89022	321217
217	89388	320650
218	89724	319974
219	90079	319372
220	90442	318799
221	90792	318184
222	91178	317695
223	91516	317037
224	91883	316488
225	92272	316011
226	92613	315376
227	92955	314744
228	93309	314155
229	93611	313395
230	93942	312735
231	94321	312235
232	94722	311810
233	95136	311428
234	95482	310826
235	95846	310283
236	96208	309733
237	96530	309060
238	96880	308478
239	97206	307821
240	97503	307073
241	97814	306376
242	98172	305828
243	98528	305275
244	98881	304715
