iter	Logloss
0	0.6928983099
1	0.6926783722
2	0.6924702609
3	0.6922824725
4	0.6921151246
5	0.6919775093
6	0.6918495271
7	0.6917252282
8	0.691614709
9	0.6915104192
10	0.6914269511
11	0.6913427487
12	0.6912649848
13	0.691197062
14	0.6911392432
15	0.6910812583
16	0.6910297337
17	0.6909824582
18	0.6909406939
19	0.6909028032
20	0.6908805101
21	0.6908475944
22	0.6908199248
23	0.6907932116
24	0.690769295
25	0.6907121263
26	0.6906984556
27	0.6906794286
28	0.6906651063
29	0.6906566564
30	0.6906449869
31	0.6905974701
32	0.6905853071
33	0.6905743191
34	0.6905686762
35	0.6905614451
36	0.6905570345
37	0.6905486523
38	0.6905391701
39	0.6904900974
40	0.6904856224
41	0.6904816002
42	0.6904762252
43	0.6904732464
44	0.6904705542
45	0.6904384016
46	0.6904368216
47	0.6904353902
48	0.690431991
49	0.690431181
50	0.6904101947
51	0.6903880627
52	0.6903661095
53	0.6903642962
54	0.6903627657
