iter	Passed	Remaining
0	277	277004
1	370	184803
2	473	157400
3	592	147409
4	678	135007
5	746	123617
6	843	119700
7	937	116309
8	1023	112737
9	1138	112741
10	1234	111034
11	1331	109642
12	1427	108390
13	1509	106287
14	1601	105156
15	1694	104230
16	1790	103547
17	1902	103803
18	1995	103043
19	2102	103019
20	2207	102890
21	2343	104187
22	2458	104440
23	2596	105609
24	2692	104998
25	2798	104853
26	2866	103302
27	2962	102834
28	3040	101794
29	3107	100467
30	3186	99589
31	3292	99592
32	3378	99009
33	3476	98782
34	3573	98536
35	3656	97920
36	3723	96912
37	3821	96745
38	3932	96912
39	4066	97597
40	4161	97333
41	4249	96932
42	4353	96884
43	4433	96331
44	4516	95844
45	4626	95949
46	4716	95637
47	4786	94930
48	4905	95209
49	4961	94260
50	5116	95201
51	5250	95723
52	5391	96328
53	5485	96095
54	5591	96079
